what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1257481024226
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1257481024240
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1257481024256
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1257481024266
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1257481024278
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1257481024279
os,sysinfo,,,"linux",1257481024284
arch,sysinfo,,,"x86",1257481024284
ws,sysinfo,,,"gtk",1257481024284
locale,sysinfo,,,"zh_CN",1257481024284
processors,sysinfo,,,"2",1257481024285
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1257481024285
java.runtime.version,sysinfo,,,"1.6.0_15-b03",1257481024285
java.specification.name,sysinfo,,,"Java Platform API Specification",1257481024285
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1257481024285
java.specification.version,sysinfo,,,"1.6",1257481024285
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1257481024285
java.version,sysinfo,,,"1.6.0_15",1257481024285
java.vm.info,sysinfo,,,"mixed mode, sharing",1257481024285
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1257481024285
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1257481024285
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1257481024285
java.vm.specification.version,sysinfo,,,"1.0",1257481024285
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1257481024285
java.vm.version,sysinfo,,,"14.1-b02",1257481024285
